Rival,Tier,Campaign,Ad group prefix,Landing page,Page exists
Aura,A,S02 | Conquest | Repricers,Aura | Brand,https://www.apexapplications.io/compare/aura,yes
SellerSnap,A,S02 | Conquest | Repricers,SellerSnap | Brand,https://www.apexapplications.io/compare/sellersnap,yes
BQool,B,S02 | Conquest | Repricers,BQool,https://www.apexapplications.io/compare/bqool,yes
Informed Repricer,B,S02 | Conquest | Repricers,Informed Repricer,https://www.apexapplications.io/compare/informed-repricer,yes
Repricer.com,B,S02 | Conquest | Repricers,Repricer.com,https://www.apexapplications.io/compare/repricer,yes
SellerAmp,A,S03 | Conquest | Sourcing & Ops,SellerAmp | Brand,https://www.apexapplications.io/compare/selleramp,yes
Third Party Profits,A,S03 | Conquest | Sourcing & Ops,Third Party Profits | Brand,https://www.apexapplications.io/compare,"no, ad group paused"
Scan Unlimited,B,S03 | Conquest | Sourcing & Ops,Scan Unlimited,https://www.apexapplications.io/compare/scan-unlimited,yes
Rocket Source,B,S03 | Conquest | Sourcing & Ops,Rocket Source,https://www.apexapplications.io/compare/rocket-source,yes
Seller Assistant,B,S03 | Conquest | Sourcing & Ops,Seller Assistant,https://www.apexapplications.io/compare/seller-assistant,yes
Tactical Arbitrage,B,S03 | Conquest | Sourcing & Ops,Tactical Arbitrage,https://www.apexapplications.io/compare,"no, ad group paused"
Boxem,B,S03 | Conquest | Sourcing & Ops,Boxem,https://www.apexapplications.io/compare/boxem,yes
2D Workflow,B,S03 | Conquest | Sourcing & Ops,2D Workflow,https://www.apexapplications.io/compare/2d-workflow,yes
sellerboard,A,S04 | Conquest | Analytics & Research,sellerboard | Brand,https://www.apexapplications.io/compare/sellerboard,yes
SmartScout,A,S04 | Conquest | Analytics & Research,SmartScout | Brand,https://www.apexapplications.io/compare/smartscout,yes
Helium 10,A,S04 | Conquest | Analytics & Research,Helium 10 | Brand,https://www.apexapplications.io/compare/helium10,yes
Jungle Scout,A,S04 | Conquest | Analytics & Research,Jungle Scout | Brand,https://www.apexapplications.io/compare/junglescout,yes
InventoryLab,B,S04 | Conquest | Analytics & Research,InventoryLab,https://www.apexapplications.io/compare/inventorylab,yes
