Campaign,Ad Group,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
S01 | Brand Defence,Brand | Core,Responsive search ad,Apex Applications,Apex Applications Official,The Official Apex Site,Amazon Wholesale Suite,"Scan, Buy, Price, Restock",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Apex Green Scanner,Apex Gold Repricer,Apex Blue Profit Tracker,See Pricing And Plans,Start Your Free Trial,Built For Wholesale Sellers,Book A Walkthrough,"The official home of Apex Applications. Scanning, purchase orders, repricing, P&L.","Start a seven day trial. Card up front, nothing charged until the trial ends.","One suite for Amazon wholesale: find the deal, buy it, price it, restock it.",Prefer a walkthrough first? Book a session and we will go through your catalogue.,apex,official,https://www.apexapplications.io/,Paused
S01 | Brand Defence,Brand | Modules,Responsive search ad,Apex Applications,Apex Applications Official,The Official Apex Site,Amazon Wholesale Suite,"Scan, Buy, Price, Restock",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Apex Green Scanner,Apex Gold Repricer,Apex Blue Profit Tracker,See Pricing And Plans,Start Your Free Trial,Built For Wholesale Sellers,Book A Walkthrough,"The official home of Apex Applications. Scanning, purchase orders, repricing, P&L.","Start a seven day trial. Card up front, nothing charged until the trial ends.","One suite for Amazon wholesale: find the deal, buy it, price it, restock it.",Prefer a walkthrough first? Book a session and we will go through your catalogue.,apex,official,https://www.apexapplications.io/features/gold,Paused
S01 | Brand Defence,Brand | Programmes,Responsive search ad,Apex Applications,Apex Applications Official,The Official Apex Site,Amazon Wholesale Suite,"Scan, Buy, Price, Restock",Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Apex Green Scanner,Apex Gold Repricer,Apex Blue Profit Tracker,See Pricing And Plans,Start Your Free Trial,Built For Wholesale Sellers,Book A Walkthrough,"The official home of Apex Applications. Scanning, purchase orders, repricing, P&L.","Start a seven day trial. Card up front, nothing charged until the trial ends.","One suite for Amazon wholesale: find the deal, buy it, price it, restock it.",Prefer a walkthrough first? Book a session and we will go through your catalogue.,apex,official,https://www.apexapplications.io/purchase-order-program,Paused
S02 | Conquest | Repricers,Aura | Brand,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/aura,Paused
S02 | Conquest | Repricers,Aura | Switch,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/aura,Paused
S02 | Conquest | Repricers,SellerSnap | Brand,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/sellersnap,Paused
S02 | Conquest | Repricers,SellerSnap | Switch,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/sellersnap,Paused
S02 | Conquest | Repricers,BQool,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/bqool,Paused
S02 | Conquest | Repricers,Informed Repricer,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/informed-repricer,Paused
S02 | Conquest | Repricers,Repricer.com,Responsive search ad,Repricer Alternatives,Repricing Is One Step,Repricer Plus The Whole Loop,Price Floors From Real Cost,Win The Buy Box Safely,Repricer In Every Plan,$149/mo For The Whole Suite,"7 Days Free, No Charge Yet",Built For Wholesale Sellers,"Scan, Buy, Price, Restock",An Honest Side By Side,See Where We Win And Lose,Your Floor Is Your Real Cost,Stop Paying Per Listing,"One Login, Not Four Tabs","Repricing, scanning, purchase orders and profit in one place. Seven days free.","Your price floor comes from your real landed cost, not a number you keep by hand.","An honest comparison, including where the other tool wins. Real pricing, no spin.","Card up front, nothing charged for seven days. Cancel before it ends, pay nothing.",compare,repricers,https://www.apexapplications.io/compare/repricer,Paused
