Campaign,Sitelink Text,Sitelink Description 1,Sitelink Description 2,Final URL
S01 | Brand Defence,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S01 | Brand Defence,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S01 | Brand Defence,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S01 | Brand Defence,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S01 | Brand Defence,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S01 | Brand Defence,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S01 | Brand Defence,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S01 | Brand Defence,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S02 | Conquest | Repricers,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S02 | Conquest | Repricers,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S02 | Conquest | Repricers,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S02 | Conquest | Repricers,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S02 | Conquest | Repricers,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S02 | Conquest | Repricers,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S02 | Conquest | Repricers,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
S02 | Conquest | Repricers,Book A Walkthrough,We will look at your catalogue.,"Thirty minutes, no pitch.",https://www.apexapplications.io/purchase-order-program
S03 | Conquest | Sourcing & Ops,Compare The Tools,Sixteen honest comparisons.,Including where we lose.,https://www.apexapplications.io/compare
S03 | Conquest | Sourcing & Ops,See Pricing,"Starter $149/mo, Pro $299.",Seven days free to try.,https://www.apexapplications.io/pricing
S03 | Conquest | Sourcing & Ops,The Repricer,Floors from your real cost.,Included in every plan.,https://www.apexapplications.io/features/gold
S03 | Conquest | Sourcing & Ops,The Scanner,Whole price lists at once.,Ends in a purchase order.,https://www.apexapplications.io/features/green
S03 | Conquest | Sourcing & Ops,Profit And P&L,"Real costs, fees and freight.","By day, week or month.",https://www.apexapplications.io/features/blue
S03 | Conquest | Sourcing & Ops,Wholesale Suppliers,Three vetted US distributors.,Three more every month.,https://www.apexapplications.io/amazon-wholesale-suppliers
S03 | Conquest | Sourcing & Ops,Get Ungated,Check brands before you buy.,Thousands of ASINs at once.,https://www.apexapplications.io/ungating-guide
